Country,Year,total_pollutant,total_waste
Lithuania,2007,587400.00,212666.77
Lithuania,2008,813780.00,355772.56
Lithuania,2009,766920.00,291300.90
Lithuania,2010,736500.00,256316.03
Lithuania,2012,130200000.00,146041.32
Lithuania,2013,163758660.00,259907.26
Lithuania,2014,7648000.00,496194.20
Lithuania,2015,1425278.00,478758.24
Lithuania,2016,1760766.00,772493.55
Lithuania,2017,2185092.00,484899.63
Luxembourg,2007,2908.80,1203740.76
Malta,2017,114051.60,191134.60
Netherlands,2007,16368422751.20,1507118430.44
Netherlands,2008,18818251038.99,1716018906.65
Netherlands,2009,19442155438.54,2336901084.98
Netherlands,2010,20387216661.56,57239114298.08
Netherlands,2011,19516912129.42,8047126319.66
Netherlands,2012,22315257545.31,4192674609.20
Netherlands,2013,20635478549.10,3452002807.80
Netherlands,2014,21224384403.75,3029258176.91
Netherlands,2015,18883318650.84,4149973634.56
Netherlands,2016,19369601318.62,3589341865.20
Netherlands,2017,17967310022.90,2281072343.00
Netherlands,2018,18209598795.78,3596528094.88
Netherlands,2019,20120134584.66,3238265012.40
Netherlands,2020,17578653793.90,4857071363.66
Poland,2007,139750939536.26,12713293328.00
Poland,2008,81064966613.28,12857640598.25
Poland,2009,66924285583.32,12097091994.08
Poland,2010,68743315563.17,12605350406.40
Poland,2011,64761501690.48,13383949195.02
Poland,2012,80238296065.67,13614608162.40
Poland,2013,71279770001.76,14118595536.84
Poland,2014,64746086476.40,11902487812.60
Poland,2015,62738406289.44,10797099192.36
Poland,2016,66164409722.75,10907288619.54
Poland,2017,29347238787.84,11696301000.74
Poland,2018,26635795852.05,12005429889.60
Poland,2019,23607672364.48,11134386507.00
Poland,2020,34367522713.92,9828895072.32
Portugal,2007,2238075200.32,170750750.40
Portugal,2008,4097094680.00,247290262.08
Portugal,2009,3485047816.25,235139659.40
Portugal,2010,3170854232.73,227544862.40
Portugal,2011,4155528157.69,211639227.57
Portugal,2012,5033020572.68,281232217.84
Portugal,2013,4670321526.48,243648879.00
Portugal,2014,3945488639.30,230233321.76
Portugal,2015,4541996873.19,208897737.32
Portugal,2016,3388789938.54,176053258.68
Portugal,2017,4394994905.73,141977602.26
Portugal,2018,5982635974.00,263301767.19
Romania,2007,765903857.60,207572282.75
Romania,2008,522751547.40,181206267.44
Romania,2009,391394193.30,157437430.92
Romania,2010,312695433.00,140010095.83
Romania,2011,175489855.20,106999168.50
Romania,2012,100204483.50,117100996.64
Romania,2013,72092406.40,68968227.60
Romania,2014,70600750.00,42307983.12
Romania,2015,81723713.10,53737455.60
Romania,2016,96877440.00,39626602.08
Romania,2017,124102818.00,53290127.60
Romania,2018,1280883383.00,58251139.00
Romania,2019,710441023.30,68398231.20
Romania,2020,697631742.50,50609436.70
Slovakia,2007,85080671.50,2080377.24
Slovakia,2008,78375700.00,1837837.96
Slovakia,2009,57955464.00,1553726.25
Slovakia,2010,63590513.40,1135735.68
Slovakia,2011,36318940.80,127667.04
Slovakia,2012,58511060.00,174412.20
Slovakia,2013,28490980.00,50901.34
Slovakia,2014,14324893.80,87519.56
Slovenia,2007,160709142.30,22517662.86
Slovenia,2008,231269187.80,25790882.78
Slovenia,2009,150813325.52,20340876.20
Slovenia,2010,139605420.00,16547203.26
Slovenia,2011,159897225.00,15073230.90
Slovenia,2012,124173780.80,8448872.20
Slovenia,2013,114511148.70,10813270.92
Slovenia,2014,120674330.00,7813769.70
Slovenia,2015,115834034.00,7670624.58
